orderid,customerid,storeid,orderdate
2,1453,53,4/22/2018
1,1666,1,7/16/2018
3,1689,19,12/13/2017
4,1487,23,11/19/2017
5,1876,82,2/3/2018
6,1098,17,11/5/2017
7,1016,26,5/24/2018
8,1347,65,6/18/2018
9,1640,92,3/17/2018
10,1893,28,9/17/2017
11,1181,73,3/5/2018
12,1366,90,10/7/2017
13,1154,29,7/2/2018
14,1756,99,6/23/2018
15,1639,90,1/6/2018
16,1344,79,10/10/2017
17,1203,66,5/16/2018
18,1754,65,7/30/2018
19,1862,60,6/13/2018
20,1490,56,4/7/2018
21,1400,69,5/30/2018
22,1081,96,6/5/2018
23,1497,25,12/21/2017
24,1757,58,6/13/2018
25,1347,82,12/22/2017
26,1596,26,9/26/2017
27,1188,98,11/30/2017
28,1901,79,4/24/2018
29,1360,36,4/21/2018
30,1727,17,3/27/2018
31,1478,32,2/18/2018
32,1789,37,4/26/2018
33,1464,40,5/4/2018
34,1047,76,12/2/2017
35,1430,99,2/6/2018
36,1402,8,4/14/2018
37,1130,38,1/27/2018
38,1438,63,7/16/2018
39,1595,21,12/27/2017
40,1859,14,8/21/2018
41,1820,98,3/3/2018
42,1762,83,6/30/2018
43,1052,84,2/6/2018
44,1799,45,9/25/2017
45,1126,69,10/11/2017
46,1472,38,1/9/2018
47,1222,30,1/26/2018
48,1628,21,1/16/2018
49,1212,51,7/10/2018
50,1742,72,4/17/2018
51,1571,61,6/19/2018
52,1819,10,7/27/2018
53,1624,74,7/30/2018
54,1858,76,9/26/2017
55,1640,91,12/30/2017
56,1939,50,8/5/2018
57,1615,76,7/23/2018
58,1248,94,3/23/2018
59,1566,11,12/22/2017
60,1641,48,11/7/2017
61,1535,50,1/30/2018
62,1960,47,2/4/2018
63,1975,38,5/3/2018
64,1341,49,11/28/2017
65,1769,54,9/9/2018
66,1038,14,1/20/2018
67,1446,39,12/28/2017
68,1337,53,2/23/2018
69,1027,92,6/8/2018
70,1136,41,12/27/2017
71,1124,52,4/14/2018
72,1753,52,6/2/2018
73,1653,98,3/6/2018
74,1524,21,7/17/2018
75,1565,59,3/25/2018
